wall_time,step,value
1527012990.662718,7,0.8449122309684753
1527012990.934737,11,0.01567663997411728
1527012991.217438,16,0.0011326372623443604
1527012991.592745,23,0.0006199848721735179
1527012991.938891,28,0.0004376353754196316
1527012992.329788,33,0.00035758313606493175
1527012992.65171,38,0.000286199152469635
1527012992.947303,43,0.00023508124286308885
1527012993.307979,48,0.00019663726561702788
1527012993.661608,53,0.00016290780331473798
1527012993.963922,58,0.00013949218555353582
1527012994.296403,63,0.00012189766857773066
1527012994.729747,68,0.00010740975267253816
1527013053.2623,7,0.8449122309684753
1527013054.108183,11,0.01567663997411728
1527013055.07123,16,0.0011326372623443604
1527013056.032591,23,0.0006199848721735179
1527013056.995224,28,0.0004376353754196316
1527013057.866233,33,0.00035758313606493175
1527013058.782097,38,0.000286199152469635
1527013059.649408,43,0.00023508124286308885
1527013060.563466,48,0.00019663726561702788
1527013061.500677,53,0.00016290780331473798
1527013062.407716,58,0.00013949218555353582
1527013071.96275,68,0.14527419209480286
1527013072.78438,72,0.002667507156729698
1527013073.63075,76,7.254775846377015e-05
1527013074.454107,80,2.6747908123070374e-05
1527013075.439071,85,2.0513964045676403e-05
1527013076.300461,89,2.1727044440922327e-05
1527013077.18119,93,1.9780291040660813e-05
1527013078.016917,97,2.0908039005007595e-05
1527013078.853837,101,2.0379202396725304e-05
1527013079.762337,105,2.3057698854245245e-05
1527013080.706694,109,2.174079963879194e-05
1527013081.614086,113,2.016405778704211e-05
1527013082.419458,117,1.911370964080561e-05
1527013083.223471,121,1.7612281226320192e-05
1527013084.030415,125,1.7452966858400032e-05
1527013084.943883,129,1.690786302788183e-05
1527013085.766109,133,1.584683923283592e-05
1527013086.773181,137,1.4878046386002097e-05
1527013087.795906,141,1.4154134987620637e-05
1527013088.65131,145,1.3352339010452852e-05
1527013089.578103,149,1.2786198567482643e-05
1527013090.41645,153,1.231500573339872e-05
1527013091.344934,157,1.2269258149899542e-05
1527013092.20077,161,1.2141292245360091e-05
1527013093.035169,165,1.1795521459134761e-05
1527013093.982636,169,1.2124810382374562e-05
1527013095.311797,173,1.174242606793996e-05
1527013096.411005,177,1.3846380170434713e-05
1527013097.622023,181,1.1546087080205325e-05
1527013098.532724,185,1.1695083230733871e-05
1527013099.565468,189,1.2455027899704874e-05
1527013100.416832,193,1.179073933599284e-05
1527013101.374524,197,1.148530554928584e-05
1527013102.224247,201,1.3365451195568312e-05
1527013103.203063,205,1.3164904885343276e-05
1527013104.156055,209,1.2762407095578965e-05
1527013105.093442,213,1.3605372259917203e-05
1527013105.954825,217,1.4053182894713245e-05
1527013106.956132,221,1.1738296052499209e-05
1527013107.985716,225,1.3189898709242698e-05
1527013108.891172,229,1.4460702004726045e-05
1527013109.764809,233,1.4083583664614707e-05
1527013110.632758,237,1.2532070286397357e-05
1527013111.519225,241,1.1542597349034622e-05
1527013112.536471,245,1.485317261540331e-05
1527013113.484431,249,1.7314872820861638e-05
1527013114.414435,253,1.4741872291779146e-05
1527013115.314965,257,1.6667627278366126e-05
1527013116.293348,261,2.0613397282431833e-05
1527013117.247905,265,2.1066276531200856e-05
1527013118.167482,269,2.1553725673584267e-05
