wall_time,step,value
1527283110.89503,33,-89.32247161865234
1527283123.683137,195,-28.6823787689209
1527283142.549048,395,99.67772674560547
1527283160.65346,595,105.13150024414062
1527283180.444663,795,43.759613037109375
1527283189.662431,882,43.39533233642578
1527283207.900836,1051,73.34831237792969
1527283230.394765,1251,55.82251739501953
1527283232.061292,1265,-3.7524964809417725
1527283236.594906,1303,11.621031761169434
1527283260.80426,1503,64.58338165283203
1527283270.73151,1583,34.96319580078125
1527283297.32976,1783,-12.871892929077148
1527283324.626634,1983,-106.53002166748047
1527283353.258908,2183,-40.079139709472656
1527283385.257891,2383,-15.720251083374023
1527283400.822999,2485,48.26934051513672
1527283406.476709,2521,7.778652191162109
1527283426.921537,2651,-35.52487564086914
1527283459.018113,2851,-24.984561920166016
1527283470.310922,2920,-63.260292053222656
1527283483.762752,3002,-40.965423583984375
1527283517.248644,3202,-43.59253692626953
1527283551.619125,3402,-83.52789306640625
1527283565.396717,3481,-68.6275405883789
1527283601.042533,3681,-125.56314086914062
1527283637.622062,3881,-126.39147186279297
1527283657.344614,3987,-73.67609405517578
1527283695.189601,4187,-187.1880645751953
1527283713.595408,4283,-35.571632385253906
1527283752.81605,4483,-166.0730438232422
1527283769.78974,4569,-48.40211486816406
1527283774.501539,4592,-20.925764083862305
1527283814.675958,4792,-125.8216323852539
1527283818.323065,4810,-1.4076906442642212
1527283839.341226,4913,-125.38446044921875
1527283864.544602,5035,-116.37560272216797
1527283872.125577,5070,-15.513927459716797
1527283907.430921,5236,-147.13267517089844
1527283921.679407,5301,-73.77803802490234
1527283965.036374,5501,-189.78807067871094
1527283985.0548,5593,-80.87274169921875
1527283998.866344,5658,-39.883697509765625
1527284032.089609,5815,-212.1273193359375
1527284036.331934,5834,-16.171157836914062
1527284042.37823,5861,-39.09922790527344
1527284057.805184,5932,-65.19087219238281
1527284074.643453,6009,-55.904170989990234
1527284084.136838,6052,-24.11311912536621
1527284102.178989,6134,-54.744293212890625
1527284109.809268,6168,-7.522345066070557
1527284118.760396,6208,-47.85414505004883
1527284132.403638,6269,-32.93460464477539
1527284135.724557,6283,-5.810739994049072
1527284141.4597,6307,-4.028980255126953
1527284158.697907,6384,-107.495849609375
1527284178.964982,6473,-97.0003890991211
1527284192.121368,6529,-47.10774612426758
1527284201.183519,6568,-42.38200378417969
1527284208.907125,6601,-22.085901260375977
1527284254.74826,6801,-254.63865661621094
1527284262.151465,6832,-48.28886413574219
1527284274.934019,6886,-75.55469512939453
1527284309.404913,7033,-170.77975463867188
1527284314.367023,7053,-20.716415405273438
1527284320.423301,7078,-41.35447311401367
1527284337.405726,7149,-83.8053970336914
1527284340.926914,7163,-12.094733238220215
1527284349.719094,7199,-54.74531173706055
1527284355.926268,7224,-51.340843200683594
1527284374.341205,7300,-85.99280548095703
1527284402.738564,7417,-183.0703887939453
1527284407.544792,7436,-13.116939544677734
1527284425.904231,7511,-127.07691192626953
1527284475.148932,7711,-297.8429260253906
1527284525.074651,7911,-309.9775695800781
1527284553.697495,8024,-200.80752563476562
1527284566.620373,8074,-57.728084564208984
1527284569.676139,8085,-11.178203582763672
1527284573.152504,8097,-17.106313705444336
1527284577.582973,8113,-24.9180908203125
1527284629.310718,8313,-343.62811279296875
1527284651.26834,8396,-96.84928894042969
1527284664.410427,8445,-79.28607940673828
1527284672.030376,8473,-54.96030044555664
1527284680.258761,8503,-34.50039291381836
1527284696.916672,8565,-87.75440216064453
1527284700.330495,8577,-19.653247833251953
1527284724.066269,8665,-103.0163803100586
1527284728.328531,8680,-37.804447174072266
1527284732.089177,8693,-12.086069107055664
1527284749.015293,8755,-133.46160888671875
1527284768.057234,8825,-131.80796813964844
1527284782.256113,8876,-26.113574981689453
1527284789.881651,8903,-51.50377655029297
1527284844.526564,9103,-302.2559814453125
1527284867.340415,9185,-84.96085357666016
1527284902.808151,9312,-175.89031982421875
1527284907.557031,9328,-24.014610290527344
1527284963.884433,9528,-290.7784118652344
1527284970.501813,9550,-34.03879165649414
1527285019.011882,9719,-306.4032287597656
1527285077.068343,9919,-329.8630676269531
1527285099.389832,9994,-166.09600830078125
1527285112.607406,10038,-71.68869018554688
1527285126.339258,10084,-67.79229736328125
1527285129.83783,10095,-13.007538795471191
1527285145.715837,10148,-83.914306640625
1527285205.330505,10348,-330.2547302246094
1527285220.585389,10398,-76.7148666381836
1527285257.261241,10519,-193.89877319335938
1527285265.473742,10545,-48.95186996459961
1527285272.153791,10566,-25.596397399902344
1527285280.954769,10594,-45.712642669677734
1527285286.44348,10611,-28.10851287841797
1527285292.572749,10630,-34.90473937988281
1527285299.291123,10651,-45.516944885253906
1527285321.579271,10723,-157.95127868652344
1527285382.373045,10923,-278.4860534667969
1527285392.580707,10956,-43.06285095214844
1527285418.229339,11041,-138.68934631347656
1527285432.92779,11089,-95.64570617675781
1527285436.472035,11100,-25.39206314086914
1527285482.881327,11254,-271.74560546875
1527285487.979084,11270,-27.435909271240234
1527285501.803183,11315,-113.15927124023438
1527285562.931654,11515,-390.50360107421875
1527285593.914646,11615,-197.60125732421875
1527285599.791886,11633,-23.779125213623047
1527285611.91511,11671,-45.806705474853516
1527285623.335495,11707,-100.57320404052734
1527285641.414289,11764,-108.79961395263672
1527285648.571276,11786,-51.65755081176758
1527285673.268915,11864,-104.7463607788086
1527285680.538351,11886,-18.408899307250977
1527285744.107637,12086,-387.50970458984375
1527285769.608176,12165,-104.50820922851562
1527285780.812324,12199,-45.60087966918945
1527285784.917811,12211,-23.16054344177246
1527285790.741733,12228,-32.297550201416016
1527285839.865714,12380,-294.5898742675781
1527285844.940275,12395,-32.049015045166016
1527285881.450898,12507,-235.52684020996094
1527285905.202507,12579,-190.30471801757812
1527285910.677147,12595,-33.881351470947266
1527285930.86871,12656,-80.44992065429688
1527285955.550914,12730,-172.17794799804688
