wall_time,step,value
1527012990.662771,7,6.0
1527012990.934763,11,4.0
1527012991.217471,16,5.0
1527012991.592785,23,7.0
1527012991.938916,28,5.0
1527012992.329834,33,5.0
1527012992.651733,38,5.0
1527012992.947375,43,5.0
1527012993.308004,48,5.0
1527012993.661631,53,5.0
1527012993.963962,58,5.0
1527012994.296436,63,5.0
1527012994.729788,68,5.0
1527013053.262637,7,6.0
1527013054.108293,11,4.0
1527013055.071363,16,5.0
1527013056.032772,23,7.0
1527013056.995321,28,5.0
1527013057.866331,33,5.0
1527013058.782214,38,5.0
1527013059.649505,43,5.0
1527013060.563792,48,5.0
1527013061.500776,53,5.0
1527013062.407816,58,5.0
1527013071.962845,68,4.0
1527013072.784554,72,4.0
1527013073.63089,76,4.0
1527013074.454198,80,4.0
1527013075.439212,85,5.0
1527013076.300787,89,4.0
1527013077.181333,93,4.0
1527013078.017083,97,4.0
1527013078.853981,101,4.0
1527013079.762473,105,4.0
1527013080.706847,109,4.0
1527013081.614222,113,4.0
1527013082.419572,117,4.0
1527013083.223619,121,4.0
1527013084.030549,125,4.0
1527013084.944014,129,4.0
1527013085.766278,133,4.0
1527013086.773453,137,4.0
1527013087.796036,141,4.0
1527013088.651416,145,4.0
1527013089.578199,149,4.0
1527013090.416548,153,4.0
1527013091.345108,157,4.0
1527013092.200912,161,4.0
1527013093.035265,165,4.0
1527013093.982738,169,4.0
1527013095.312001,173,4.0
1527013096.4111,177,4.0
1527013097.622136,181,4.0
1527013098.532805,185,4.0
1527013099.565595,189,4.0
1527013100.416973,193,4.0
1527013101.374703,197,4.0
1527013102.224344,201,4.0
1527013103.203385,205,4.0
1527013104.156189,209,4.0
1527013105.093794,213,4.0
1527013105.954924,217,4.0
1527013106.956274,221,4.0
1527013107.98585,225,4.0
1527013108.891271,229,4.0
1527013109.764943,233,4.0
1527013110.632896,237,4.0
1527013111.51936,241,4.0
1527013112.536609,245,4.0
1527013113.484527,249,4.0
1527013114.414583,253,4.0
1527013115.315137,257,4.0
1527013116.293441,261,4.0
1527013117.248044,265,4.0
1527013118.16758,269,4.0
1527013119.112813,273,4.0
1527013120.097264,277,4.0
1527013120.999755,281,4.0
1527013121.945523,285,4.0
1527013122.877139,289,4.0
1527013123.722048,293,4.0
1527013124.684485,297,4.0
1527013125.537426,301,4.0
1527013126.498139,305,4.0
1527013127.38455,309,4.0
1527013128.472295,313,4.0
1527013129.368346,317,4.0
1527013130.335602,321,4.0
1527013131.334959,325,4.0
1527013132.285772,329,4.0
1527013133.140426,333,4.0
1527013134.152718,337,4.0
1527013135.031465,341,4.0
1527013135.984804,345,4.0
1527013136.989204,349,4.0
1527013137.871495,353,4.0
1527013138.832924,357,4.0
1527013139.827573,361,4.0
1527013140.685585,365,4.0
1527013141.710438,369,4.0
1527013142.559437,373,4.0
1527013143.42247,377,4.0
1527013144.441034,381,4.0
1527013145.338982,385,4.0
1527013146.354167,389,4.0
1527013147.230757,393,4.0
1527013148.124646,397,4.0
1527013149.150667,401,4.0
1527013150.118986,405,4.0
1527013151.098972,409,4.0
1527013152.015648,413,4.0
1527013153.02543,417,4.0
