wall_time,step,value
1527188176.528555,201,-449.452880859375
1527188195.825219,201,-449.452880859375
1527188208.571064,401,-132.07534790039062
1527188222.460401,601,-90.63966369628906
1527188237.046659,801,-62.76516342163086
1527188252.435289,1001,-56.07061004638672
1527188268.754111,1201,-58.42083740234375
1527188286.070251,1401,-51.80170822143555
1527188304.235223,1601,-48.31183624267578
1527188323.001428,1801,-16.36910629272461
1527188342.69199,2001,-41.8923454284668
1527188363.211855,2201,-51.417171478271484
1527188384.990159,2401,-13.785404205322266
1527188407.122181,2601,-65.99231719970703
1527188430.122786,2801,-36.19296646118164
1527188453.721917,3001,-15.9481201171875
1527188477.72759,3201,-54.822532653808594
1527188502.64761,3401,-49.17462158203125
1527188528.080053,3601,-20.211711883544922
1527188554.401963,3801,-20.232196807861328
1527188580.825147,4001,-28.239723205566406
1527188606.968616,4201,-39.89865493774414
1527188634.008113,4401,-30.8183650970459
1527188661.393307,4601,-24.048532485961914
1527188689.397677,4801,-3.9427056312561035
1527188717.781488,5001,-47.686302185058594
1527188746.921465,5201,-36.98305130004883
1527188776.531335,5401,-51.53742218017578
1527188813.668581,5601,-48.20014190673828
1527188852.189886,5801,-25.986547470092773
1527188890.482353,6001,-44.91634750366211
1527188929.993975,6201,-27.031389236450195
1527188970.722159,6401,-23.006122589111328
1527189011.675127,6601,-33.07296371459961
1527189052.254033,6801,-21.941280364990234
1527189093.535781,7001,-25.594493865966797
1527189135.04618,7201,-15.348479270935059
1527189177.482385,7401,-38.431396484375
1527189220.45168,7601,-39.235774993896484
1527189264.048197,7801,-51.364097595214844
1527189308.208621,8001,-36.23215103149414
1527189353.244001,8201,-32.162254333496094
1527189399.198186,8401,-31.007675170898438
1527189446.068564,8601,-31.250837326049805
1527189493.692549,8801,-62.15779495239258
1527189541.796352,9001,-9.095507621765137
1527189590.402728,9201,-27.884992599487305
1527189638.09932,9401,-20.75644302368164
1527189686.651779,9601,-59.3569221496582
1527189735.755001,9801,-42.02467727661133
1527189784.585835,10001,-36.87565231323242
1527189833.947261,10201,-34.02327346801758
1527189884.327677,10401,-34.82622528076172
1527189934.922327,10601,-25.190996170043945
1527189986.487616,10801,-39.26504135131836
1527190038.343551,11001,-16.804140090942383
1527190091.193486,11201,-27.923715591430664
1527190144.831429,11401,-15.473716735839844
1527190199.063267,11601,-30.99532699584961
1527190254.281947,11801,-43.84873580932617
1527190310.007424,12001,-50.01384735107422
1527190366.706696,12201,-67.2118148803711
1527190423.589109,12401,-24.79828453063965
1527190481.226849,12601,-63.03350067138672
1527190539.655044,12801,-32.64517593383789
1527190598.755531,13001,-33.18467330932617
1527190658.517751,13201,-36.856475830078125
1527190718.889156,13401,-50.132484436035156
1527190780.013691,13601,-37.24205017089844
1527190841.921274,13801,-22.61162567138672
1527190904.829396,14001,-10.418159484863281
1527190968.250948,14201,-15.730975151062012
1527191032.302881,14401,-13.34664249420166
1527191097.154843,14601,-47.591285705566406
1527191162.550329,14801,-48.92460250854492
1527191228.6442,15001,-24.450002670288086
1527191295.961562,15201,-18.35150146484375
1527191363.597002,15401,-32.76205062866211
1527191432.067352,15601,-15.129250526428223
1527191504.34245,15801,-8.285771369934082
1527191579.475212,16001,-29.24976348876953
1527191653.404745,16201,-63.42616653442383
1527191728.064734,16401,-58.00508117675781
1527191803.709824,16601,-67.09117889404297
1527191879.929804,16801,-29.57291030883789
1527191956.847387,17001,-59.137733459472656
1527192034.460517,17201,-46.284950256347656
1527192113.046006,17401,-39.050086975097656
1527192192.277015,17601,-50.07310104370117
1527192272.506167,17801,-43.25901794433594
1527192353.33519,18001,-49.42715835571289
1527192434.855735,18201,-20.05320930480957
1527192516.910896,18401,-28.589385986328125
1527192599.69902,18601,-12.22064208984375
1527192683.637441,18801,-31.30656623840332
1527192767.875333,19001,-32.44639205932617
1527192852.969402,19201,-21.428361892700195
1527192938.937549,19401,-71.79230499267578
1527193025.745343,19601,-25.00572395324707
1527193113.442629,19801,-24.888362884521484
1527193201.218979,20001,-27.506135940551758
1527193289.932406,20201,-40.85062026977539
1527193379.434169,20401,-15.316564559936523
1527193469.523363,20601,-34.7106819152832
1527193560.129127,20801,-19.25435447692871
1527193651.673988,21001,-31.421045303344727
1527193744.1736,21201,-41.88837814331055
1527193837.324057,21401,-60.90766525268555
1527193931.124856,21601,-37.27931213378906
1527194025.949282,21801,-49.07168197631836
1527194121.301588,22001,-37.52381134033203
1527194217.341176,22201,-23.836814880371094
1527194313.986013,22401,-23.55555534362793
1527194411.395372,22601,-38.09117126464844
1527194509.913758,22801,-59.845149993896484
1527194609.167736,23001,-58.9449462890625
1527194708.770262,23201,-17.317289352416992
1527194809.273198,23401,-76.89801788330078
1527194910.594108,23601,-28.073596954345703
1527195012.387695,23801,-51.59090805053711
1527195115.199744,24001,-26.109161376953125
1527195218.435245,24201,-31.02060317993164
1527195322.256775,24401,-57.21149444580078
1527195427.111733,24601,-65.31913757324219
1527195532.643883,24801,-48.8995475769043
1527195638.829567,25001,-43.6325569152832
1527195745.788672,25201,-43.98196029663086
1527195853.453459,25401,-52.927589416503906
1527195960.905469,25601,-67.5222396850586
1527196069.412453,25801,-27.28421401977539
1527196178.894114,26001,-24.832246780395508
1527196289.347688,26201,-9.805801391601562
1527196400.451185,26401,-39.90813064575195
1527196512.226468,26601,-73.30662536621094
1527196623.985728,26801,-75.01344299316406
1527196736.583044,27001,-58.357765197753906
1527196849.692199,27201,-52.0076789855957
1527196963.820209,27401,-82.77197265625
